Name, Headquarters, Address, Phone, Website
"5Four Digital","Pembroke Pines, Florida, United States", NULL , NULL , NULL 
"5i Solutions","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"5nine Software","West Palm Beach, Florida, United States","1555 Palm Beach Lakes Blvd #750, West Palm Beach, FL 33401, United States","(561) 898-1100","https://www.5nine.com/",
"5th Avenue Acquisitions & Venture Capitalists","Naples, Florida, United States","780 5th Ave S suite 200, Naples, FL 34102, United States","(800) 201-3143","http://5thaavc.com/",
"64bithost.com","Gainesville, Florida, United States", NULL , NULL , NULL 
"71lbs","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"734 Citrus Holdings","Frostproof, Florida, United States", NULL , NULL , NULL 
"800 Travel Systems","Tampa, Florida, United States", NULL , NULL , NULL 
"800.COM","Longboat Key, Florida, United States", NULL , NULL , NULL 
"805Stats","Boynton Beach, Florida, United States", NULL , NULL , NULL 
"83 Degrees Media","Tampa, Florida, United States", NULL , NULL , NULL 
"8base","Coral Gables, Florida, United States", NULL , NULL , NULL 
"8BitBandits","Winter Park, Florida, United States", NULL , NULL , NULL 
"8K Solutions","Titusville, Florida, United States","8850 Grissom Pkwy, Titusville, FL 32780, United States","(321) 804-8200","http://www.8ksolutions.com/",
"911 Boost","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"911 Home Experts","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"99 Bitcoins","Sarasota, Florida, United States", NULL , NULL , NULL 
"99 Dollars Per Month Websites","Miami Beach, Florida, United States", NULL , NULL , NULL 
"A Beautiful Site","Orlando, Florida, United States", NULL , NULL , NULL 
"A Briter Smile Dental Care","Tampa, Florida, United States","20729 Center Oak Ave, Tampa, FL 33647, United States","(813) 907-1222","http://www.mynewtampadentist.com/",
"A Class Limos","Pompano Beach, Florida, United States","1903 NW 18th St, Pompano Beach, FL 33069, United States","(954) 271-2900","NULL",
"A Great Fence","Port St. Lucie, Florida, United States","751 NW Enterprise Dr #105, Port St. Lucie, FL 34986, United States","(772) 812-0223","http://www.agreatfence.com/",
"A Life Story Foundation","Bradenton, Florida, United States", NULL , NULL , NULL 
"A New Leaf Painting, LLC","Jacksonville, Florida, United States","11246 Distribution Ave E Suite 16, Jacksonville, FL 32256, United States","(904) 615-6599","https://www.anewleafpainting.com/",
"A Plus Carts & Parts","Fort Myers, Florida, United States","3800 Fowler St #8, Fort Myers, FL 33901, United States","(239) 989-4427","http://www.swflgolfcarts.com/",
"A Song 2u","Miami, Florida, United States", NULL , NULL , NULL 
"A V.E.T.S.c.a.r.e.","Titusville, Florida, United States", NULL , NULL , NULL 
"A-1 Bail Bonds of St Lucie","Port St. Lucie, Florida, United States","1115 Delaware Ave, Fort Pierce, FL 34950, United States","(772) 465-0096","https://a1stlucie.com/",
"A-Audio Headphones","Miami, Florida, United States", NULL , NULL , NULL 
"A-LIGN","Tampa, Florida, United States","Rivergate Tower, 400 N Ashley Dr #1325, Tampa, FL 33602, United States","(888) 702-5446","http://www.a-lign.com/",
"A-One Biz Solutions","Miramar Beach, Florida, United States","17397 SW 36th St, Miramar, FL 33029, United States","(866) 873-9168","http://www.a1bs.com/about_us.html",
"A-Rod Corp","Coral Gables, Florida, United States", NULL , NULL , NULL 
"A+ Movers","Land O Lakes, Florida, United States", NULL , NULL , NULL 
"A1A Atlantic Moving & Storage Co","Fort Lauderdale, Florida, United States","2549 W Broward Blvd, Fort Lauderdale, FL 33312, United States","(954) 581-1711","http://www.a1aatlantic.com/",
"A21, Inc.","Jacksonville, Florida, United States", NULL , NULL , NULL 
"A2T2","Clermont, Florida, United States", NULL , NULL , NULL 
"A2Z Term Life","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"AA Car Transport LLC","Pompano Beach, Florida, United States","5401 S Kirkman Rd #310, Orlando, FL 32819, United States","(321) 247-8000","https://aacartransport.com/",
"AAA","Florida, United States, North America", NULL , NULL , NULL 
"AAA Appliance Dryer Vent Cleaning Service West Palm Beach","West Palm Beach, Florida, United States","12545 79th Ct N, West Palm Beach, FL 33412, United States","(561) 234-9259","http://www.lintmanwpb.com/",
"AAA Marble Care","Fort Lauderdale, Florida, United States","1840 SE 4th St, Fort Lauderdale, FL 33301, United States","(954) 937-8453","https://aaamarblecare.com/",
"AAMP of America","Clearwater, Florida, United States","13190 56th Ct N #401, Clearwater, FL 33760, United States","(727) 572-9255","http://www.aampofamerica.com/",
"AAMPP","Hollywood, Florida, United States", NULL , NULL , NULL 
"Aaneel Infotech","Lutz, Florida, United States", NULL , NULL , NULL 
"AAUG Insurance Company LTD","Fort Lauderdale, Florida, United States","1401 E Broward Blvd #103, Fort Lauderdale, FL 33301, United States","(954) 315-5000","http://www.ciafl.net/",
"ab&jb properties and services","Inverness, Florida, United States", NULL , NULL , NULL 
"Abakan","Miami, Florida, United States", NULL , NULL , NULL 
"Abax Service Inc","Aventura, Florida, United States", NULL , NULL , NULL 
"Abazias Diamonds","Gainesville, Florida, United States", NULL , NULL , NULL 
"ABB OPTICAL GROUP","Coral Springs, Florida, United States","12301 NW 39th St, Coral Springs, FL 33065, United States","(954) 733-2300","http://www.abbconcise.com/",
"Abbott Law Group","Jacksonville, Florida, United States","2929 Plummer Cove Rd, Jacksonville, FL 32223, United States","(904) 292-1111","https://www.abbottlawgroup.com/",
"ABC Global Services","Boca Raton, Florida, United States","6001 Broken Sound Pkwy NW, Boca Raton, FL 33487, United States","(561) 300-6645","http://abcglobalservices.com/",
"abc* Foundation","Miami Beach, Florida, United States", NULL , NULL , NULL 
"abcteach.com","Orlando, Florida, United States", NULL , NULL , NULL 
"Abe AI","Orlando, Florida, United States","1013 E Colonial Dr, Orlando, FL 32803, United States","NULL","https://www.abe.ai/",
"aboutPLACE","Coral Gables, Florida, United States", NULL , NULL , NULL 
"Above Property","Naples, Florida, United States","3555 Kraft Rd, Naples, FL 34105, United States","(239) 263-7406","http://www.aboveproperty.com/",
"Absolute Consulting","Navarre, Florida, United States","7552 Navarre Pkwy # 63, Navarre, FL 32566, United States","(850) 939-8965","http://absoluteconsulting.com/",
"Absolute Home Care","Tamarac, Florida, United States","8000 N University Dr, Tamarac, FL 33321, United States","(954) 726-6556","NULL",
"Absolute Insurance Agency","Miami, Florida, United States","17010 S Dixie Hwy, Miami, FL 33157, United States","(305) 254-1982","NULL",
"Absolute Mobile Solutions","Tampa, Florida, United States","500 E Kennedy Blvd #401, Tampa, FL 33602, United States","(813) 908-6862","https://www.absolutemobilesolutions.com/services/tampa-web-design/restaurant-website-design/",
"Absolute Web Services","Miami, Florida, United States","2875 NE 191st St #404, Miami, FL 33180, United States","(305) 937-2526","https://www.absolutewebservices.com/",
"AC Designs Inc.","Saint Augustine, Florida, United States","3370 Agricultural Center Dr, St. Augustine, FL 32092, United States","(904) 829-8898","http://www.acdesignsinc.net/",
"AC Repair Boca Raton","Miami, Florida, United States","1700 Avenida Del Sol, Boca Raton, FL 33432, United States","(561) 750-1625","https://www.airboca.com/",
"Ac Repair Florida Directory","Pompano Beach, Florida, United States","1048 E Oleander St, Lakeland, FL 33801, United States","(863) 686-6163","https://www.payneair.com/",
"Ac7ive Solutions, Inc.","Miami, Florida, United States", NULL , NULL , NULL 
"Academic Evaluation Services","Tampa, Florida, United States","8875 Hidden River Pkwy #110, Tampa, FL 33637, United States","(813) 374-2020","http://www.aes-edu.org/",
"Academy of Digital Media","Davie, Florida, United States","700 SW Darwin Blvd, Port St. Lucie, FL 34953, United States","(772) 429-5504","http://schools.stlucie.k12.fl.us/mda/",
"ACAMS","Miami, Florida, United States","80 SW 8th St #2350, Miami, FL 33130, United States","(866) 256-8270","http://www.acams.org/",
"ACAP Software Development","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"Accelerated Concepts","Tampa, Florida, United States","1120 E Kennedy Blvd #227, Tampa, FL 33602, United States","(813) 699-3110","https://www.digi.com/accelerated",
"Accelerithm llc","Satellite Beach, Florida, United States", NULL , NULL , NULL 
"Acceller","Miami, Florida, United States", NULL , NULL , NULL 
"Accent American Business","Tampa, Florida, United States", NULL , NULL , NULL 
"Accent Custom Finishings & Design Center","Ruskin, Florida, United States", NULL , NULL , NULL 
"Accent Technologies","Melbourne, Florida, United States","1411 Highland Ave, Melbourne, FL 32935, United States","(800) 771-6011","https://accent-technologies.com/",
"Accentia Biopharmaceuticals Inc","Tampa, Florida, United States", NULL , NULL , NULL 
"Access Authority, Inc.","Clearwater, Florida, United States", NULL , NULL , NULL 
"Access Confidential","Boca Raton, Florida, United States", NULL , NULL , NULL 
"Access MediQuip","Lake Mary, Florida, United States","255 Primera Blvd, Lake Mary, FL 32746, United States","(407) 268-8400","NULL",
"Access Staffing","Boynton Beach, Florida, United States", NULL , NULL , NULL 
"Access Street","Tampa, Florida, United States", NULL , NULL , NULL 
"Access Wireless Data Solutions","Lutz, Florida, United States","21756 FL-54 Suite 101, Lutz, FL 33549, United States","(813) 751-2039","https://accesswds.com/",
"accesso","Lake Mary, Florida, United States","1025 Greenwood Blvd #500, Lake Mary, FL 32746, United States","(407) 333-7311","http://accesso.com/",
"Accessory Addict Society","Naples, Florida, United States", NULL , NULL , NULL 
"Accident Law Orlando","Maitland, Florida, United States","5401 S Kirkman Rd suite 310, Orlando, FL 32819, United States","(407) 926-0273","http://floridapersonalinjurylawteam.com/",
"Acclaris Holdings","Tampa, Florida, United States", NULL , NULL , NULL 
"Acclivity Health Solutions, Inc","Jacksonville, Florida, United States", NULL , NULL , NULL 
"Accordance Bible Software","Altamonte Springs, Florida, United States", NULL , NULL , NULL 
"Account First, Inc.","Jacksonville, Florida, United States","1851 University Blvd S, Jacksonville, FL 32216, United States","(800) 214-9789","https://accountfirst.com/",
"Accountable Healthcare America","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"Accountable Healthcare Staffing","Boca Raton, Florida, United States","999 Yamato Rd #210, Boca Raton, FL 33431, United States","(561) 235-7810","http://www.ahcstaff.com/",
"Accountants Inc.","Seminole, Florida, United States","9996 Seminole Blvd, Seminole, FL 33772, United States","(727) 392-2120","http://www.seminoleaccountants.com/",
"Accounting Principals","Jacksonville, Florida, United States","10151 Deerwood Park Blvd Bldg 400, Jacksonville, FL 32256, United States","(904) 360-2400","https://www.accountingprincipals.com/locations/jacksonville-fl-accounting-staffing-agencies/?utm_source=google&utm_medium=listing&utm_content=95&utm_campaign=FL&utm_keyword=Jacksonville",
"AccountingLive","Miami, Florida, United States", NULL , NULL , NULL 
"Accredited Holding Corp","Winter Park, Florida, United States", NULL , NULL , NULL 
"Accu-Break Pharmaceuticals","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"Accudial Pharmaceutical","Boca Raton, Florida, United States", NULL , NULL , NULL 
"AccuDraft","Lake Mary, Florida, United States", NULL , NULL , NULL 
"Accurate Event Group","Pompano Beach, Florida, United States","2300 Palm Beach Lakes Blvd # 216, West Palm Beach, FL 33409, United States","(561) 478-6827","NULL",
"Accurate Paper Recycling","Tampa, Florida, United States","5500 E Giddens Ave, Tampa, FL 33610, United States","(800) 838-6600","http://accushred.com/",
"AccurateTax","Merritt Island, Florida, United States", NULL , NULL , NULL 
"AccuReg","Davie, Florida, United States", NULL , NULL , NULL 
"Accusoft","Tampa, Florida, United States","Tampa, FL 33607, United States","(813) 875-7575","https://www.accusoft.com/",
"AccuStore","Clearwater, Florida, United States", NULL , NULL , NULL 
"Ace Cloud Hosting","Pompano Beach, Florida, United States", NULL , NULL , NULL 
"Ace Moving and Storage","Miami, Florida, United States","2507 Investor's Row Suite #400, Orlando, FL 32837, United States","(407) 855-9922","http://www.acerelocation.com/locations/orlando-moving/",
"Achieve Agency","Palm Beach, Florida, United States", NULL , NULL , NULL 
"ACI Worldwide","Naples, Florida, United States","3520 Kraft Rd #300, Naples, FL 34105, United States","(239) 403-4600","http://www.aciworldwide.com/",
"Acopoco","Miami Beach, Florida, United States", NULL , NULL , NULL 
"Acordis International Corp","Miramar Beach, Florida, United States","2785 N Commerce Pkwy, Miramar, FL 33025, United States","(954) 620-0072","http://www.acordiscorp.com/",
"Acosta","Jacksonville, Florida, United States","6600 Corporate Center Pkwy, Jacksonville, FL 32216, United States","NULL","https://www.acosta.com/",
"Acosta Dental Arts, PA","North Palm Beach, Florida, United States","784 US-1 #10, North Palm Beach, FL 33408, United States","(561) 622-0301","https://www.acostasmiles.com/",
"Acosta Sales & Marketing","Jacksonville, Florida, United States","6600 Corporate Center Pkwy, Jacksonville, FL 32216, United States","(904) 281-9800","http://www.acosta.com/",
"Acquinity Interactive","Deerfield Beach, Florida, United States", NULL , NULL , NULL 
"Acquisition Consultant","Orlando, Florida, United States", NULL , NULL , NULL 
"ACR Electronics","Kenansville, Florida, United States", NULL , NULL , NULL 
"ACS Air Conditioning","Clearwater, Florida, United States","1712 E Seward St, Tampa, FL 33604, United States","(813) 213-3537","https://www.acshomeservices.com/?utm_source=GMB&utm_medium=organic&utm_campaign=Tampa",
"ACS Connect","Brandon, Florida, United States", NULL , NULL , NULL 
"Actfinder","Kenansville, Florida, United States", NULL , NULL , NULL 
"ActiGraph","Pensacola, Florida, United States","49 E Chase St, Pensacola, FL 32502, United States","(850) 332-7900","http://www.actigraphcorp.com",
"Action 1 Restoration","Sunrise, Florida, United States","US-1, Florida, USA","NULL","NULL",
"Action App","Pinellas Park, Florida, United States", NULL , NULL , NULL 
"Action Cooling and Heating","Fort Myers, Florida, United States","6340 Arc Way, Fort Myers, FL 33966, United States","(239) 768-7005","http://actioncooling.com/",
"Action Online Entertainment","Florida, United States, North America", NULL , NULL , NULL 
"Action Paintball","Winter Haven, Florida, United States","1715 7th St SW, Winter Haven, FL 33880, United States","(863) 299-4042","NULL",
"Actionable Quality Assurance","Gainesville, Florida, United States","3324 W University Ave, Gainesville, FL 32607, United States","(352) 562-0005","https://www.actionableqa.com/",
"ActionNewsJax","Jacksonville, Florida, United States", NULL , NULL , NULL 
"Actium","Miami, Florida, United States","2915 Biscayne Blvd # 303, Miami, FL 33137, United States","(305) 576-1112","http://actium.us/",
"Activ8 Mind & Body","Boynton Beach, Florida, United States","Quantum Village, 1054 Gateway Blvd Suite 109, Boynton Beach, FL 33426, United States","NULL","http://www.activ8mb.com/",
"Activated Communications","West Palm Beach, Florida, United States", NULL , NULL , NULL 
"Activation Solutions","Clearwater, Florida, United States", NULL , NULL , NULL 
"Active Autowerke","Miami, Florida, United States","9940 SW 168th Terrace, Miami, FL 33157, United States","(305) 233-9300","http://www.activeautowerke.com/",
"ActivEngage","Orlando, Florida, United States", NULL , NULL , NULL 
"ActivePBX","Miami, Florida, United States", NULL , NULL , NULL 
"ActiveServe, Inc.","Miami, Florida, United States","1444 Biscayne Blvd #313, Miami, FL 33132, United States","(866) 228-4678","http://www.activeserve.com/",
"ActivPro, LLC","Ponte Vedra Beach, Florida, United States", NULL , NULL , NULL 
"Actsoft","Tampa, Florida, United States", NULL , NULL , NULL 
"Acupuncture Orlando","Orlando, Florida, United States","4248 Town Center Blvd #3, Orlando, FL 32837, United States","(407) 440-2808","http://acupunctureoforlando.com/",
"Acute Systems Consulting","Boca Raton, Florida, United States", NULL , NULL , NULL 
"Ada's Natural Market","Fort Myers, Florida, United States","7070 College Pkwy, Fort Myers, FL 33907, United States","(239) 939-9600","https://adasmarket.com/",
"Adacel technologies","Orlando, Florida, United States","9677 Tradeport Dr, Orlando, FL 32827, United States","(407) 581-1560","http://www.adacel.com/",
"Adam Jones Productions","Orlando, Florida, United States", NULL , NULL , NULL 
"Adams Arms","Palm Harbor, Florida, United States","36645 US Hwy 19 N, Palm Harbor, FL 34684, United States","(727) 934-9675","http://www.takeaimguns.com/",
"Adams Homes","Navarre, Florida, United States","36468 Emerald Coast Pkwy Suite 10101, Destin, FL 32541, United States","(850) 842-4884","https://www.adamshomes.com/",
"Adaptive Payments","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"Adcomm","Mary Esther, Florida, United States","300 Mary Esther Blvd, Mary Esther, FL 32569, United States","(850) 244-2172","https://www.santarosamall.com/",
"AdComplete.com","Kissimmee, Florida, United States", NULL , NULL , NULL 
"Addashop","Miami, Florida, United States", NULL , NULL , NULL 
"Addflip","Tampa, Florida, United States", NULL , NULL , NULL 
"ADDM&G","Orlando, Florida, United States", NULL , NULL , NULL 
"Addressgate","Miami, Florida, United States", NULL , NULL , NULL 
"Ademero Inc.","Tampa, Florida, United States","7815 N Dale Mabry Hwy #210, Tampa, FL 33614, United States","(813) 333-9882","http://resourcestaffinggroupinc.com/contact-us/",
"ADEX Technologies","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"Adflair","Boca Raton, Florida, United States", NULL , NULL , NULL 
"Adjust Production","Orlando, Florida, United States","911 N Orange Ave, Orlando, FL 32801, United States","(239) 249-9339","http://www.adjustproduction.com/",
"Adlimbo LLC","Winter Park, Florida, United States", NULL , NULL , NULL 
"Administrative Partners","Tampa, Florida, United States", NULL , NULL , NULL 
"Admiral","Gainesville, Florida, United States","747 SW 2nd Ave, Gainesville, FL 32601, United States","(844) 442-3675","https://getadmiral.com/",
"Admiral Plumbing Services, LLC","Jupiter, Florida, United States","2895 Jupiter Park Dr Ste 700, Jupiter, FL 33458, United States","(561) 746-1180","https://www.theadmiralplumber.com/",
"Admiralty Bancorp","Palm Beach Gardens, Florida, United States", NULL , NULL , NULL 
"AdMobilize","Miami, Florida, United States", NULL , NULL , NULL 
"AdNexus Media","Hollywood, Florida, United States", NULL , NULL , NULL 
"Adopt-a-Contractor","North Miami Beach, Florida, United States","16101 W Dixie Hwy, North Miami Beach, FL 33160, United States","(305) 696-0800","http://www.humanesocietymiami.org/",
"Adore Cosmetics","Miami Beach, Florida, United States", NULL , NULL , NULL 
"AdPaid","Satellite Beach, Florida, United States", NULL , NULL , NULL 
"AdRizer","Sarasota, Florida, United States", NULL , NULL , NULL 
"ADS Florida","Naples, Florida, United States", NULL , NULL , NULL 
"Ads On Rides","Miami Beach, Florida, United States","150 2nd Ave N #800, St. Petersburg, FL 33701, United States","(727) 821-5155","https://www.paradiseadv.com/",
"ADS Telecom","Maitland, Florida, United States", NULL , NULL , NULL 
"Adsmovil","Coral Gables, Florida, United States", NULL , NULL , NULL 
"ADT Security","Boca Raton, Florida, United States","1501 Yamato Rd, Boca Raton, FL 33431, United States","(561) 404-0338","https://www.adt.com/local/fl/bocaraton?utm_source=places&utm_medium=fl&utm_campaign=boca_raton&utm_term=localseo",
"Adva-Net","Sarasota, Florida, United States","6710 Professional Pkwy W #301, Sarasota, FL 34240, United States","(941) 313-3300","http://www.adva-net.com/",
"Advance Age Insurance Services","Altamonte Springs, Florida, United States","124 Marcia Dr, Altamonte Springs, FL 32714, United States","(407) 862-9929","http://advanceageinsurance.com/",
"Advance Carts Inc","Boca Raton, Florida, United States","4160 NW 1st Ave Suite #18, Boca Raton, FL 33431, United States","(877) 575-0469","https://advancecarts.com/",
"Advance Disposal Services","Ponte Vedra, Florida, United States","90 Fort Wade Rd #200, Ponte Vedra Beach, FL 32081, United States","(904) 737-7900","http://www.advanceddisposal.com/",
"Advanced Aesthetics of Jacksonville","Jacksonville, Florida, United States", NULL , NULL , NULL 
"Advanced Autoshipping","Tallahassee, Florida, United States", NULL , NULL , NULL 
"Advanced Care Scripts","Orlando, Florida, United States","6251 Chancellor Dr #101, Orlando, FL 32809, United States","(877) 985-6337","http://www.acs-rx.com/",
"Advanced Concrete Supply","Fort Walton Beach, Florida, United States","94 Ready Ave NW, Fort Walton Beach, FL 32548, United States","(850) 301-0306","https://advancedconcretesupply.com/",
"Advanced Control Corporation","Fort Lauderdale, Florida, United States","6001 NE 14th Ave, Fort Lauderdale, FL 33334, United States","(954) 491-6660","http://www.advancedcontrolcorp.com/",
"Advanced Endoscopy Inc.","Hollywood, Florida, United States","4208 N 31st Ave Suite 1, Hollywood, FL 33021, United States","(954) 961-8888","https://www.webuyendoscopes.net/",
"Advanced fPAT Imaging","Tampa, Florida, United States", NULL , NULL , NULL 
"Advanced Information Systems, Inc.","Orlando, Florida, United States","1842 N Alafaya Trail suite d, Orlando, FL 32826, United States","(407) 581-2929","http://www.aisg.com/",
"Advanced Interactive Media Group","Altamonte Springs, Florida, United States", NULL , NULL , NULL 
"Advanced Interventional Pain Clinic","Orlando, Florida, United States","1170 S Semoran Blvd, Orlando, FL 32807, United States","(321) 710-8052","NULL",
"Advanced MarketPlace","Tampa, Florida, United States","3018 US-301, Tampa, FL 33619, United States","(813) 655-7173","http://www.advancedmarketplace.com/",
"Advanced Medical Personnel Services","Port Orange, Florida, United States","5535 S Williamson Blvd #774, Port Orange, FL 32128, United States","(888) 756-0605","http://www.gowithadvanced.com/",
